Immoweb ID,Property type,property sub-type,Price,Post code,Building condition,Kitchen type,Bedrooms,Furnished,Terrace surface,Tenement building,Number of frontages,Swimming pool,How many fireplaces?,Garden,Terrace,Surface of the plot
9729720,APARTMENT,PENTHOUSE,179000,1140,Good,1.0,1,1.0,9,0.0,,,,,,
9729785,APARTMENT,PENTHOUSE,255000,8370,Good,1.0,1,1.0,46,0.0,2,,,,,
9729784,APARTMENT,PENTHOUSE,255000,8370,Good,1.0,1,1.0,46,0.0,2,,,,,
9729780,APARTMENT,PENTHOUSE,620000,8370,Good,1.0,3,1.0,70,0.0,2,,,,,
9727201,APARTMENT,PENTHOUSE,379000,1020,Good,1.0,2,0.0,110,0.0,3,0.0,,,,
9727139,APARTMENT,PENTHOUSE,650000,1170,Good,1.0,3,0.0,31,0.0,4,0.0,,,,
9727340,APARTMENT,PENTHOUSE,1450000,1180,,,,,,0.0,,,,,,
9727352,APARTMENT,PENTHOUSE,1900000,1060,,,,,,0.0,,,,,,
9725914,APARTMENT,PENTHOUSE,345000,1090,As new,1.0,2,0.0,31,0.0,4,1.0,1,,,
9725517,APARTMENT,PENTHOUSE,458000,1180,,,,,,0.0,,,,,,
9724579,APARTMENT,PENTHOUSE,189500,2870,,,,,,0.0,,,,,,
9723417,APARTMENT,PENTHOUSE,525000,1160,Good,1.0,2,0.0,80,0.0,3,0.0,,,,
9729475,APARTMENT,PENTHOUSE,499000,1190,As new,1.0,3,0.0,11,0.0,2,0.0,,,,
9716762,APARTMENT,PENTHOUSE,285000,2220,,,,,,0.0,,,,,,
9716698,APARTMENT,PENTHOUSE,294500,9300,,,,,,0.0,,,,,,
9714965,APARTMENT,PENTHOUSE,445000,1180,,,,,,0.0,,,,,,
9716200,APARTMENT,PENTHOUSE,458000,1180,,,,,,0.0,,,,,,
9715013,APARTMENT,PENTHOUSE,575000,1180,,,,,,0.0,,,,,,
9710989,APARTMENT,PENTHOUSE,345900,1120,,,,,,0.0,,,,,,
9718440,APARTMENT,PENTHOUSE,None,8300,,,,,,,,,,,,
9709499,APARTMENT,PENTHOUSE,230000,9300,,,,,,0.0,,,,,,
9709484,APARTMENT,PENTHOUSE,299000,9300,,,,,,0.0,,,,,,
9708560,APARTMENT,PENTHOUSE,304000,1050,,,,,,0.0,,,,,,
9710088,APARTMENT,PENTHOUSE,319500,1420,,,,,,0.0,,,,,,
9717709,APARTMENT,PENTHOUSE,995000,2320,As new,1.0,4,0.0,,0.0,3,,1,1.0,,
9671802,APARTMENT,PENTHOUSE,369000,1435,As new,1.0,2,0.0,25,0.0,,0.0,,,,
9693428,APARTMENT,PENTHOUSE,389000,1200,As new,1.0,2,,12,0.0,2,0.0,,,,
9634183,APARTMENT,PENTHOUSE,445000,1410,As new,1.0,2,,84,0.0,4,0.0,,,,
9353900,APARTMENT,PENTHOUSE,445000,1410,As new,1.0,2,0.0,85,0.0,,,,,,
8312581,APARTMENT,PENTHOUSE,455000,1410,As new,1.0,3,0.0,15,0.0,,,,,,
9079055,APARTMENT,PENTHOUSE,549000,1060,As new,1.0,3,0.0,,0.0,3,0.0,,,,
9666661,APARTMENT,PENTHOUSE,700000,1200,As new,1.0,2,0.0,81,0.0,4,0.0,,,,
9217375,APARTMENT,PENTHOUSE,1450000,1180,As new,1.0,3,0.0,134,0.0,4,0.0,,,,
9683441,APARTMENT,PENTHOUSE,2500000,1050,As new,1.0,4,0.0,111,0.0,4,0.0,,,,
8952406,APARTMENT,PENTHOUSE,2500000,1050,As new,1.0,4,0.0,111,0.0,2,0.0,,,,
8935749,APARTMENT,PENTHOUSE,2500000,1050,As new,1.0,4,0.0,111,0.0,2,0.0,,,,
9687066,APARTMENT,PENTHOUSE,285000,9300,,1.0,2,0.0,21,0.0,,,,,,
9714940,APARTMENT,PENTHOUSE,598000,1140,As new,1.0,3,0.0,103,0.0,2,0.0,,,,
9554723,APARTMENT,PENTHOUSE,79000,5370,Good,1.0,2,0.0,,0.0,,,,,,
9535621,APARTMENT,PENTHOUSE,124000,5060,,,,,,0.0,,,,,,
9572067,APARTMENT,PENTHOUSE,139000,7800,,,,,,0.0,,,,,,
9532333,APARTMENT,PENTHOUSE,140000,7500,,,,,,0.0,,,,,,
9363798,APARTMENT,PENTHOUSE,165195,5000,,,,,,0.0,,,,,,
9474420,APARTMENT,PENTHOUSE,169000,2370,,,,,,0.0,,,,,,
8651556,APARTMENT,PENTHOUSE,176000,4020,,,,,,0.0,,,,,,
9700445,APARTMENT,PENTHOUSE,180000,1000,,,,,,0.0,,,,,,
9698917,APARTMENT,PENTHOUSE,185000,1070,,,,,,0.0,,,,,,
9686181,APARTMENT,PENTHOUSE,186000,1435,,,,,,0.0,,,,,,
7677356,APARTMENT,PENTHOUSE,187500,7100,,,,,,0.0,,,,,,
9602631,APARTMENT,PENTHOUSE,197900,2500,,,,,,0.0,,,,,,
9281516,APARTMENT,PENTHOUSE,198000,1160,,,,,,0.0,,,,,,
9409643,APARTMENT,PENTHOUSE,199000,2880,,,,,,0.0,,,,,,
9594841,APARTMENT,PENTHOUSE,199000,4590,Good,1.0,2,0.0,42,0.0,,,,,,
9423484,APARTMENT,PENTHOUSE,None,1200,,,,,,,,,,,,
9472947,APARTMENT,PENTHOUSE,202000,2250,,,,,,0.0,,,,,,
8638255,APARTMENT,PENTHOUSE,204000,8530,,,,,,0.0,,,,,,
9595101,APARTMENT,PENTHOUSE,209900,2220,,,,,,0.0,,,,,,
9659460,APARTMENT,PENTHOUSE,210000,1030,,,,,,0.0,,,,,,
9581766,APARTMENT,PENTHOUSE,215000,2018,,,,,,0.0,,,,,,
9180002,APARTMENT,PENTHOUSE,217813,2570,,,,,,0.0,,,,,,
9692450,APARTMENT,PENTHOUSE,219500,4280,Good,1.0,2,0.0,9,0.0,4,,,,,
9159753,APARTMENT,PENTHOUSE,225000,8610,,,,,,0.0,,,,,,
9655675,APARTMENT,PENTHOUSE,230000,1140,,,,,,0.0,,,,,,
9276260,APARTMENT,PENTHOUSE,231525,1180,,,,,,0.0,,,,,,
9189605,APARTMENT,PENTHOUSE,239000,8370,,,,,,0.0,,,,,,
8654131,APARTMENT,PENTHOUSE,240000,1500,,,,,,0.0,,,,,,
8642585,APARTMENT,PENTHOUSE,245000,8450,,,,,,0.0,,,,,,
9629561,APARTMENT,PENTHOUSE,249500,1420,,,,,,0.0,,,,,,
9547518,APARTMENT,PENTHOUSE,249500,1420,,,,,,0.0,,,,,,
9547418,APARTMENT,PENTHOUSE,249500,1420,,,,,,0.0,,,,,,
9629468,APARTMENT,PENTHOUSE,259500,1420,,,,,,0.0,,,,,,
9547564,APARTMENT,PENTHOUSE,259500,1420,,,,,,0.0,,,,,,
8541987,APARTMENT,PENTHOUSE,260000,1340,,,,,,0.0,,,,,,
9252961,APARTMENT,PENTHOUSE,265000,1070,,,,,,0.0,,,,,,
9629424,APARTMENT,PENTHOUSE,265000,1420,,,,,,0.0,,,,,,
9691876,APARTMENT,PENTHOUSE,275520,1470,,,,,,0.0,,,,,,
9629540,APARTMENT,PENTHOUSE,279000,1300,,,,,,0.0,,,,,,
9662650,APARTMENT,PENTHOUSE,279500,1090,,,,,,0.0,,,,,,
9679258,APARTMENT,PENTHOUSE,283000,1140,,,,,,0.0,,,,,,
9597143,APARTMENT,PENTHOUSE,284500,2801,,,,,,0.0,,,,,,
9703392,APARTMENT,PENTHOUSE,285000,1341,,,,,,0.0,,,,,,
9509971,APARTMENT,PENTHOUSE,285000,1348,,,,,,0.0,,,,,,
9679227,APARTMENT,PENTHOUSE,299000,1140,,,,,,0.0,,,,,,
9327466,APARTMENT,PENTHOUSE,299000,8200,,,,,,0.0,,,,,,
9548645,APARTMENT,PENTHOUSE,302000,2800,,,,,,0.0,,,,,,
9472714,APARTMENT,PENTHOUSE,315000,1932,Good,1.0,2,0.0,9,0.0,2,,,,,
8828835,APARTMENT,PENTHOUSE,315000,8370,,,,,,0.0,,,,,,
9659378,APARTMENT,PENTHOUSE,315000,9400,As new,1.0,2,,28,0.0,2,,,,,
9130415,APARTMENT,PENTHOUSE,318500,8490,,,,,,0.0,,,,,,
9673139,APARTMENT,PENTHOUSE,319000,2160,,,,,,0.0,,,,,,
9670779,APARTMENT,PENTHOUSE,319000,2200,,,,,,0.0,,,,,,
9542069,APARTMENT,PENTHOUSE,335000,2460,,,,,,0.0,,,,,,
9325281,APARTMENT,PENTHOUSE,340697,2830,,,,,,0.0,,,,,,
9493153,APARTMENT,PENTHOUSE,344000,1200,,,,,,0.0,,,,,,
9693032,APARTMENT,PENTHOUSE,362350,9300,,,,,,0.0,,,,,,
9348575,APARTMENT,PENTHOUSE,369000,1200,As new,1.0,2,0.0,30,0.0,2,0.0,,,,
9173496,APARTMENT,PENTHOUSE,383250,2550,,,,,,0.0,,,,,,
9099090,APARTMENT,PENTHOUSE,394500,9000,,,,,,0.0,,,,,,
9629441,APARTMENT,PENTHOUSE,395000,1410,,,,,,0.0,,,,,,
9520499,APARTMENT,PENTHOUSE,399000,4620,As new,1.0,4,0.0,276,0.0,3,0.0,,,,
9509955,APARTMENT,PENTHOUSE,442000,1340,,,,,,0.0,,,,,,
9547370,APARTMENT,PENTHOUSE,465000,1050,,,,,,0.0,,,,,,
9687314,APARTMENT,PENTHOUSE,470000,1000,,,,,,0.0,,,,,,
9636671,APARTMENT,PENTHOUSE,475000,1200,Good,1.0,3,0.0,30,0.0,,0.0,,,,
8889382,APARTMENT,PENTHOUSE,478000,1200,,,,,,0.0,,,,,,
9655603,APARTMENT,PENTHOUSE,481000,1200,,,,,,0.0,,,,,,
9494118,APARTMENT,PENTHOUSE,481000,1200,,,,,,0.0,,,,,,
9495068,APARTMENT,PENTHOUSE,539000,2000,,,,,,0.0,,,,,,
9072821,APARTMENT,PENTHOUSE,549000,1060,,,,,,0.0,,,,,,
9586037,APARTMENT,PENTHOUSE,565000,1180,,,,,,0.0,,,,,,
9441203,APARTMENT,PENTHOUSE,567000,1950,Good,1.0,3,0.0,12,0.0,3,0.0,1,,,
8862685,APARTMENT,PENTHOUSE,575000,1180,,,,,,0.0,,,,,,
9217364,APARTMENT,PENTHOUSE,575000,1180,,,,,,0.0,,,,,,
9217358,APARTMENT,PENTHOUSE,595000,1180,,,,,,0.0,,,,,,
9703414,APARTMENT,PENTHOUSE,610000,1341,,,,,,0.0,,,,,,
8944845,APARTMENT,PENTHOUSE,620000,1933,,,,,,0.0,,,,,,
9699657,APARTMENT,PENTHOUSE,690000,1150,To renovate,1.0,3,0.0,76,0.0,2,,,,,
9641216,APARTMENT,PENTHOUSE,750000,1040,,,,,,0.0,,,,,,
8736103,APARTMENT,PENTHOUSE,750000,1040,,,,,,0.0,,,,,,
9700520,APARTMENT,PENTHOUSE,750000,1040,,,,,,0.0,,,,,,
9702503,APARTMENT,PENTHOUSE,850000,1200,,,,,,0.0,,,,,,
9659478,APARTMENT,PENTHOUSE,980000,1040,,,,,,0.0,,,,,,
9109949,APARTMENT,PENTHOUSE,1100000,1050,,,,,,0.0,,,,,,
8617415,APARTMENT,PENTHOUSE,1395000,1050,,,,,,0.0,,,,,,
9500159,APARTMENT,PENTHOUSE,1450000,1180,,,,,,0.0,,,,,,
5537417,APARTMENT,PENTHOUSE,1450000,1180,,,,,,0.0,,,,,,
8808763,APARTMENT,PENTHOUSE,1645000,1050,,,,,,0.0,,,,,,
9331403,APARTMENT,PENTHOUSE,1695000,1180,,,,,,0.0,,,,,,
9690213,APARTMENT,PENTHOUSE,1900000,1050,,,,,,0.0,,,,,,
9565849,APARTMENT,PENTHOUSE,1900000,1050,,,,,,0.0,,,,,,
9565842,APARTMENT,PENTHOUSE,1900000,1060,,,,,,0.0,,,,,,
7438771,APARTMENT,PENTHOUSE,1950000,1000,,,,,,0.0,,,,,,
9711655,APARTMENT,PENTHOUSE,235000,9170,Good,1.0,2,0.0,6,0.0,2,,,,,
9708872,APARTMENT,PENTHOUSE,445000,1200,As new,1.0,3,0.0,28,0.0,2,0.0,,,,
9712984,APARTMENT,PENTHOUSE,410000,1120,Good,1.0,2,0.0,111,0.0,2,0.0,,,,
9419875,APARTMENT,PENTHOUSE,144500,4000,,,,,,0.0,,,,,,
9419919,APARTMENT,PENTHOUSE,250800,4557,,,,,,0.0,,,,,,
9586988,APARTMENT,PENTHOUSE,190000,1200,To be done up,1.0,1,0.0,11,0.0,4,0.0,,,,
